Ministry/Entity;Buyer;Project Code;Code Nom;State Nom;Organisation;PerimGeo;Region;Date ;Duration;Montant prévisionnel HT (toutes périodes de reconduction incluses);Execution %;Exceution date
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;BdD Avord-Bourges (départements 18, 36 et 41) - Suivi des piezomètres CF;37.02.10;Maintenance équipements industriels;Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2018T4;48;entre 100 KEuros et 1 MEuros;42%;25/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;14NN110 - RENNES (35) - Exploitation et maintenance des équipements techniques situés dans les différents immeubles du périmètre;37.05.03;Contrat multiservices-multitechniques;Ministériel;Régional ou infra;BRETAGNE;2018T4;48;entre 1 MEuros et 10 MEuros;81%;25/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN144 - GUER (56) - Camp de Coëtquidan -exploitation et de maintenance multi-technique de la base de défense de Vannes Coëtquidan - Lot n° 4 : Production et assainissement d'eau;37.05.02;Contrat de maintenance multitechniques;Ministériel;Régional ou infra;BRETAGNE;2019T4;48;entre 1 MEuros et 10 MEuros;30%;6/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN148 - GUER (56) - Camp de Coëtquidan -exploitation et de maintenance multi-technique de la base de défense de Vannes Coëtquidan - Lot n° 8 : Matériels techniques divers;37.05.02;Contrat de maintenance multitechniques;Ministériel;Régional ou infra;BRETAGNE;2019T4;48;entre 100 KEuros et 1 MEuros;16%;15/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;27058 - NIMES - CASERNE CHABRIERE - Réhabilitation Bât 002 EVLE (110 places);36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2021T4;12;entre 1 MEuros et 10 MEuros;87%;2/12/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;442570 - NIMES - CAMP DES GARRIGUES - installation technique accueil VBMR - SCORPION;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2019T4;12;entre 1 MEuros et 10 MEuros;49%;5/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;441202 - PORT VENDRE - Sémaphore du cap Béar - Rénovation du sémaphore du Cap Bear;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T4;12;entre 100 KEuros et 1 MEuros;57%;19/11/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;443373 - MARSEILLE  - CASERNE SAINTE MARTHE - LSEA- Réorganisation du laboratoire -CEPIA Ste Marthe., (ancien CRE) (travaux suite a MOP);36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T1;12;entre 1 MEuros et 10 MEuros;56%;14/1/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;440483 - 018 AC MONTFERRAT 1 RCA - CANJUERS durcissement plate-forme FOB VILLARS puis ELECTRIFICATION;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;PACA;2018T4;12;entre 100 KEuros et 1 MEuros;30%;23/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;441776 - 018 AC DRAGUIGNAN - CMA - Réhabilitation du bâtiment et accueil de la chefferie CMA-NG;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2018T4;12;entre 1 MEuros et 10 MEuros;71%;17/12/2018
